Start,YLow,YVAL,YPOC,YVAH,YHigh,SessionOpen,HourClose,LinRegAlpha,LinRegBeta,LinRegR2,YNakedLowDistPct,YNakedVALDistPct,YNakedPOCDistPct,YNakedVAHDistPct,YNakedHighDistPct,CrossYLow,CrossYVAL,CrossYPOC,CrossYVAH,CrossYHigh
2018-08-02T00:00:00Z,7439,7522.727272727273,7541.333333333333,7618.858585858586,7745,7600.08,7691.6,7603.230557377051,1.2176760211169766,0.825292881314351,-0.03284102137396645,-0.021955474449103878,-0.01953646402135672,-0.009457253905743236,0.006942638722762446,false,true,true,true,false
2018-08-03T00:00:00Z,7471,7475.646464646465,7563.929292929293,7640.595959595959,7700,7525.71,7380,7527.226387978146,-2.9332278410669637,0.8567581312650059,0.012330623306233062,0.012960225561851581,0.024922668418603428,0.035311105636308855,0.04336043360433604,true,true,false,false,false
2018-08-04T00:00:00Z,7286,7311.252525252526,7351.656565656565,7445.090909090909,7535,7412.27,7464.54,7385.973398907106,1.158879133092522,0.7590658213784467,-0.02391841962130285,-0.020535421438892996,-0.015122624347037407,-0.002605531072121116,0.009439295656530748,true,true,true,true,false
2018-08-05T00:00:00Z,6941,6946.545454545455,7002,7284.818181818182,7489,7009.84,6906.97,7043.718278688524,-1.8139416504584618,0.7408568027104517,0.004926907167687096,0.005729785209064858,0.013758565622841817,0.054705345733104635,0.0842670519779295,true,true,true,false,false
2018-08-06T00:00:00Z,6889,6956.313131313132,6987.989898989899,7049.363636363636,7084,7024.19,7044.88,7047.127989071038,0.2583167546540714,0.17143792229580646,-0.022126707623124894,-0.012571806572556023,-0.00807538254875893,0.0006364389973478503,0.005552968964694912,true,true,true,true,true
2018-08-07T00:00:00Z,6846,6849.060606060606,6922.515151515152,7023.515151515152,7148,6935,6968.97,6972.236098360654,-0.3070880800222285,0.2433040672747947,-0.017645362227129726,-0.017206185984355544,-0.006665956157774864,0.00782685985377347,0.025689592579678164,true,true,true,true,false
2018-08-08T00:00:00Z,6685,6918.333333333333,7105,7137.666666666667,7146,6720.63,6616.15,6639.867207650275,-0.9380352875798813,0.20212738202147418,0.010406354148560774,0.04567359164065709,0.07388738163433423,0.07882479488322776,0.08008433907937401,false,false,false,false,false
2018-08-09T00:00:00Z,6154,6306.727272727273,6487.737373737374,6685.717171717171,6713,6283.27,6289.21,6304.181038251367,-0.40643067518755216,0.3010886531917264,-0.021498725595106544,0.002785289842010831,0.03156634517489059,0.06304562444522784,0.06738366185896161,false,true,true,false,false
2018-08-10T00:00:00Z,6197,6316.353535353535,6469.808080808081,6610.474747474747,6618,6529.79,6552.49,6548.114704918033,0.22375576549041357,0.22642418515610752,-0.05425265814980256,-0.03603766883222476,-0.012618396852481804,0.008849269128949082,0.009997726055285887,true,true,true,false,false
2018-08-11T00:00:00Z,6037,6316.959595959596,6403.10101010101,6548.464646464647,6569,6148.13,6076.04,6147.862775956282,-0.9869980550152812,0.773930936316487,-0.006425237490207431,0.039650758711199455,0.053827988311632206,0.07775206326236277,0.08113178978413572,true,true,true,false,false
